"DateTime";"Cross";"PC"
"2023-09-21 00:00:00";72247;153652
"2023-09-22 00:00:00";55291;53405
"2023-09-23 00:00:00";48877;51056
"2023-09-24 00:00:00";50464;54758
"2023-09-25 00:00:00";56622;60765
"2023-09-26 00:00:00";56710;67403
"2023-09-27 00:00:00";48894;55550
"2023-09-28 00:00:00";42771;48523
"2023-09-29 00:00:00";36816;43442
"2023-09-30 00:00:00";30969;35468
"2023-10-01 00:00:00";31230;34500
"2023-10-02 00:00:00";33646;37290
"2023-10-03 00:00:00";33783;37258
"2023-10-04 00:00:00";31396;35164
"2023-10-05 00:00:00";27785;30147
"2023-10-06 00:00:00";22866;24484
"2023-10-07 00:00:00";17372;17606
"2023-10-08 00:00:00";18976;19000
"2023-10-09 00:00:00";18785;18197
"2023-10-10 00:00:00";19896;20243
"2023-10-11 00:00:00";19140;19831
"2023-10-12 00:00:00";17211;18034
"2023-10-13 00:00:00";16569;17543
"2023-10-14 00:00:00";13361;12345
"2023-10-15 00:00:00";13777;12509
"2023-10-16 00:00:00";14932;14613
"2023-10-17 00:00:00";18007;18114
"2023-10-18 00:00:00";18186;18765
"2023-10-19 00:00:00";19014;18680
"2023-10-20 00:00:00";19474;19682
"2023-10-21 00:00:00";17502;17039
"2023-10-22 00:00:00";17360;16106
"2023-10-23 00:00:00";17477;16531
"2023-10-24 00:00:00";17290;16563
"2023-10-25 00:00:00";17262;16713
"2023-10-26 00:00:00";17266;16115
"2023-10-27 00:00:00";16661;15864
"2023-10-28 00:00:00";13702;13226
"2023-10-29 00:00:00";14010;13470
"2023-10-30 00:00:00";14664;13595
"2023-10-31 00:00:00";15342;14360
"2023-11-01 00:00:00";15079;14221
"2023-11-02 00:00:00";14061;13644
"2023-11-03 00:00:00";13680;13989
"2023-11-04 00:00:00";13102;13714
"2023-11-05 00:00:00";13004;13500
"2023-11-06 00:00:00";12465;12605
"2023-11-07 00:00:00";12948;13357
"2023-11-08 00:00:00";13227;13837
"2023-11-09 00:00:00";13073;13931
"2023-11-10 00:00:00";13479;14375
"2023-11-11 00:00:00";12955;13500
"2023-11-12 00:00:00";12944;13250
"2023-11-13 00:00:00";12871;12792
"2023-11-14 00:00:00";13514;13975
"2023-11-15 00:00:00";13211;13830
"2023-11-16 00:00:00";13042;13761
"2023-11-17 00:00:00";12581;13080
"2023-11-18 00:00:00";11823;12309
"2023-11-19 00:00:00";12162;12278
"2023-11-20 00:00:00";11940;11767
"2023-11-21 00:00:00";12801;12647
"2023-11-22 00:00:00";12373;12784
"2023-11-23 00:00:00";11718;12429
"2023-11-24 00:00:00";12403;12804
"2023-11-25 00:00:00";13048;12981
"2023-11-26 00:00:00";13918;13933
"2023-11-27 00:00:00";13950;13906
"2023-11-28 00:00:00";14190;14203
"2023-11-29 00:00:00";14677;15236
"2023-11-30 00:00:00";14572;14656
"2023-12-01 00:00:00";14651;15014
"2023-12-02 00:00:00";12313;12266
"2023-12-03 00:00:00";12105;11433
"2023-12-04 00:00:00";13129;12673
"2023-12-05 00:00:00";14998;14800
"2023-12-06 00:00:00";15942;16238
"2023-12-07 00:00:00";16227;16738
"2023-12-08 00:00:00";15508;16000
"2023-12-09 00:00:00";12635;12045
"2023-12-10 00:00:00";12424;11857
"2023-12-11 00:00:00";11986;11538
"2023-12-12 00:00:00";11718;11778
"2023-12-13 00:00:00";11320;11639
"2023-12-14 00:00:00";11169;10931
"2023-12-15 00:00:00";13915;15618
"2023-12-16 00:00:00";11602;10650
"2023-12-17 00:00:00";11590;10654
"2023-12-18 00:00:00";11257;9668
"2023-12-19 00:00:00";12174;11794
"2023-12-20 00:00:00";12209;12333
"2023-12-21 00:00:00";11963;12275
"2023-12-22 00:00:00";11548;11193
"2023-12-23 00:00:00";10696;9655
"2023-12-24 00:00:00";10592;10859
"2023-12-25 00:00:00";11073;10482
"2023-12-26 00:00:00";11653;11750
"2023-12-27 00:00:00";11806;11673
"2023-12-28 00:00:00";12654;12214
"2023-12-29 00:00:00";12684;12077
"2023-12-30 00:00:00";9205;8333
"2023-12-31 00:00:00";9000;7414
"2024-01-01 00:00:00";8547;7000
"2024-01-02 00:00:00";8054;6975
"2024-01-03 00:00:00";8539;7571
"2024-01-04 00:00:00";8832;8014
"2024-01-05 00:00:00";8560;7750
"2024-01-06 00:00:00";7576;7029
"2024-01-07 00:00:00";7958;7113
"2024-01-08 00:00:00";8467;7600
"2024-01-09 00:00:00";13858;13840
"2024-01-10 00:00:00";15636;14804
"2024-01-11 00:00:00";11416;9797
"2024-01-12 00:00:00";11675;10622
"2024-01-13 00:00:00";10824;9642
"2024-01-14 00:00:00";10464;10221
"2024-01-15 00:00:00";10389;9436
"2024-01-16 00:00:00";10542;9229
"2024-01-17 00:00:00";11238;10688
"2024-01-18 00:00:00";11058;9938
"2024-01-19 00:00:00";10133;9043
"2024-01-20 00:00:00";7748;7583
"2024-01-21 00:00:00";8346;7475
"2024-01-22 00:00:00";9258;8429
"2024-01-23 00:00:00";9560;8143
"2024-01-24 00:00:00";10208;9586
"2024-01-25 00:00:00";10367;10525
"2024-01-26 00:00:00";10289;10379
"2024-01-27 00:00:00";12229;11393
"2024-01-28 00:00:00";13976;13688
"2024-01-29 00:00:00";14409;14000
"2024-01-30 00:00:00";15584;14000
"2024-01-31 00:00:00";15933;14000
"2024-02-01 00:00:00";15794;13917
"2024-02-02 00:00:00";15939;13500
"2024-02-03 00:00:00";15862;12375
"2024-02-04 00:00:00";15595;13107
"2024-02-05 00:00:00";16870;13881
"2024-02-06 00:00:00";17470;14583
"2024-02-07 00:00:00";18394;16722
"2024-02-08 00:00:00";18590;20500
"2024-02-09 00:00:00";16037;17889
"2024-02-10 00:00:00";12542;12536
"2024-02-11 00:00:00";12709;12245
"2024-02-12 00:00:00";10023;8200
"2024-02-13 00:00:00";9206;8529
"2024-02-14 00:00:00";10035;9200
"2024-02-15 00:00:00";10083;9814
"2024-02-16 00:00:00";9851;9067
"2024-02-17 00:00:00";8830;8850
"2024-02-18 00:00:00";9418;10079
"2024-02-19 00:00:00";10708;11313
"2024-02-20 00:00:00";11054;11625
"2024-02-21 00:00:00";11429;12438
"2024-02-22 00:00:00";12045;13281
"2024-02-23 00:00:00";11608;12321
"2024-02-24 00:00:00";11757;11667